capability_id,capability_name,area,role_owner,originating_process_ids,substrate_id,skill_ids,lifecycle_status,i81_verdict,i81_gap_summary,external_register_summary,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes,capability_tier,l1_domain,definition
CAP-OPS-PROCESS-CATALOG-MGMT,Process Architecture & Catalog Management,Operations,PMO,SOP-META_PROCESS_MGMT_001;hol_opera_dtp_276;thi_opera_dtp_108,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric","Identify, decompose, model, document (SOP) and maintain the process catalog and its SOP<->component traceability (pattern owned by People)."
CAP-OPS-WORKFORCE-CAPACITY-PLANNING,Workforce Capacity & Resource Planning,Operations,PMO,gtm_launch_dtp_56;gtm_launch_dtp_59;gtm_services_dtp_22,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,"People, Org Design & Quality Fabric","Plan FTE capacity, availability and agile work allocation across quarterly/annual horizons and min-par-max scenarios."
CAP-OPS-OPERATIONAL-GOVERNANCE,Operational Governance & Cohesion,Operations,PMO,hol_opera_dtp_153;gtm_pm_st_promo;ops_pmo_dtp_cohesion_quarterly_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,"People, Org Design & Quality Fabric","Gate, regression-check and quarterly-review operational cohesion (vault promotion, regression execution, cohesion review)."
CAP-OPS-KNOWLEDGE-MGMT-SYSTEM,Knowledge Management & Documentation System,Operations,System Owner,gtm_ops_dtp_23;gtm_ops_dtp_57;gtm_ops_dtp_78,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Data Governance & Enterprise Knowledge,"Organize, standardize and route the multi-surface knowledge base (Obsidian/Drive/Excalidraw/GitHub) by role and output standard."
CAP-OPS-ERP-DATA-PLATFORM-BUILD,ERP & Data Platform Build-out,Operations,System Owner,gtm_launch_dtp_17;gtm_ops_dtp_15;gtm_ops_dtp_18,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Build the ERP and operational data platform (tables, relations, transactional models, SQL flows, payment/external integrations) — co-owned with Tech."
CAP-OPS-COMPONENT-PORTFOLIO-MGMT,Component & Tooling Portfolio Management,Operations,System Owner,gtm_ops_dtp_1;gtm_ops_dtp_59;gtm_ops_dtp_87,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Product & Platform Engineering,"Maintain the component/service matrix — operating procedures, criticality, tiering, sourcing and cross-area reuse of every tool/component."
CAP-OPS-SERVICE-CATALOG-PRODUCTIZATION,Service Catalog & Productization,Operations,Product Owner,gtm_services_dtp_82;gtm_services_dtp_24;gtm_ops_dtp_99,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Go-to-Market & Brand,"Define, price (FTE-based) and productize the service catalog, including methodology licensing and service-delivery SOPs."
CAP-OPS-INBOUND-LEAD-ROUTING,Inbound Lead Routing & Response SLA,Operations,RevOps Manager,thi_opera_dtp_288;holistika_reach_dtp_003,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Go-to-Market & Brand,"Centralize inbound web leads, route them to BD and honour a response SLA."
CAP-OPS-REVENUE-OPERATIONS,Revenue Operations & Engagement Orchestration,Operations,RevOps Manager,tbi_ops_dtp_revops_qbr_001;tbi_ops_dtp_revops_revenue_rollup_001;tbi_ops_dtp_revops_crm_sync_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Finance & Revenue Operations,"Orchestrate the revenue engine — QBRs, engagement scaffolding, revenue rollups, CRM sync and counterparty checkpoints."
CAP-OPS-PROCESS-PRIORITIZATION,Process & Capability Prioritization & Sourcing,Operations,PMO,gtm_services_dtp_58;gtm_services_dtp_66;gtm_ops_dtp_88,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Delivery & Client Engagement Operations,"Rank processes/capabilities by criticality, ROI, dependency, FTE difficulty and market demand, and make make-vs-buy (insource/outsource) decisions."
CAP-CONVERSATIONAL-AI-ENGINE,Conversational AI Delivery Engine,Tech,AI Engineer,env_tech_dtp_263;gtm_madeira_dtp_52;SOP-GEMINI_FASTAPI_SERVICE_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Applied AI & MADEIRA,"Serve grounded, multilingual, multimodal conversational answers with reasoning, memory, streaming and structured output."
CAP-AI-PERSONA-PERSONALITY,AI Persona & Personality Configuration,Tech,AI Engineer,env_tech_dtp_265;gtm_madeira_dtp_89;gtm_madeira_dtp_93,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Applied AI & MADEIRA,"Give an AI collaborator a configurable, sentiment-aware persona — traits, emotional state, interaction style, backstory, self-awareness."
CAP-KNOWLEDGE-RETRIEVAL-RAG,Knowledge Retrieval & RAG Platform,Tech,AI Engineer,env_tech_dtp_256;env_tech_dtp_258;SOP-KIRBE_LLM_MANAGEMENT_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Applied AI & MADEIRA,"Ingest any source, index it (vector + graph), and retrieve/rerank relevant knowledge for grounding — the KiRBe archivist platform."
CAP-KNOWLEDGE-VAULT-GOVERNANCE,"Knowledge Vault Governance, Security & Metering",Tech,System Owner,env_tech_dtp_257;env_tech_dtp_259;env_tech_dtp_278,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Applied AI & MADEIRA,"Govern multi-tenant knowledge vaults — RBAC/membership, usage metering/quotas, audit logging, auth/RLS test gating."
CAP-AI-EVALUATION-BENCHMARKING,"AI Evaluation, Benchmarking & Compliance Scoring",Tech,AI Engineer,gtm_madeira_dtp_140;gtm_madeira_dtp_141;gtm_madeira_dtp_99,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Applied AI & MADEIRA,"Evaluate AI outputs for quality, ethics and code-of-conduct compliance via automated and agentic evaluators."
CAP-AI-AGENT-ORCHESTRATION,Multi-Agent Orchestration & Tooling,Tech,AI Engineer,env_tech_dtp_264;gtm_madeira_dtp_51;SOP-FLOWMAKER_MADEIRA_ARCHITECTURE_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Applied AI & MADEIRA,"Compose and run a roster of cooperating AI agents (research, swarm-edit, code, ReAct) with tool/API access (absorbs Operations agentic use-case catalog)."
CAP-MADEIRA-SCENARIO-LIFECYCLE,"AI Verdict, Scenario & Telemetry Lifecycle",Tech,AI Engineer,env_tech_dtp_madeira_verdict;env_tech_dtp_madeira_incident;env_tech_dtp_madeira_telemetry,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Applied AI & MADEIRA,"Run the operational governance loop for a deployed AI — verdict review, dossier emit, incident response, scenario promote/quarantine, telemetry, UX review."
CAP-API-LIFECYCLE-GOVERNANCE,API Lifecycle & Portfolio Governance,Tech,System Owner,env_tech_dtp_306;env_tech_dtp_307;SOP-MCP_SERVER_DEFINITION,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Product & Platform Engineering,"Register, specify (SSOT), catalog, version and attribute the full internal + third-party API portfolio."
CAP-WEB-APP-EXPERIENCE-ENG,Web & Application Experience Engineering,Tech,System Owner,env_tech_dtp_8;env_tech_dtp_16;thi_tech_dtp_52,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Build accessible web/app UI — components, UI logic, forms, user management, in-codebase SEO, storefront surfaces."
CAP-MULTIPLATFORM-DEPLOYMENT,Multi-Platform Deployment & Packaging,Tech,System Owner,gtm_madeira_dtp_74;gtm_madeira_dtp_80,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Package and deploy the product across cloud, web, desktop, mobile-native and edge/VR targets."
CAP-CICD-RELEASE-ENG,CI/CD & Release Engineering,Tech,System Owner,env_tech_dtp_70;env_tech_dtp_295;gtm_madeira_dtp_145,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Product & Platform Engineering,"Test, gate, merge and ship code through automated pipelines across local + cloud CI/CD."
CAP-CODEBASE-CATALOG-STANDARDS,"Codebase Catalog, Standards & Developer Onboarding",Tech,System Owner,env_tech_dtp_12;env_tech_dtp_155;env_tech_dtp_285,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Maintain an IT/codebase catalog with access unification, SDK/package standards, continuous improvement and developer onboarding."
CAP-CROSS-REPO-GOVERNANCE,Cross-Repo Governance & Schema Propagation,Tech,System Owner,SOP-EXTERNAL_REPO_BLESSING_001;SOP-EXTERNAL_REPO_DRIFT_REMEDIATION_001;SOP-CROSS_REPO_SCHEMA_PROPAGATION_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Product & Platform Engineering,"Bless external repos, remediate drift and propagate schema/contract changes across the multi-repo fleet."
CAP-AGENTIC-INFRA-OPS,Agentic Infrastructure Operations & Runtime Health,Tech,System Owner,env_tech_dtp_agentic_infra_ops_001;env_tech_dtp_openclaw_runtime_health_triage_001;env_tech_dtp_substrate_landscape_mtnce_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Product & Platform Engineering,"Operate the agentic runtime — infra ops, runtime-health triage, agentic + substrate landscape maintenance."
CAP-TECHOPS-RELIABILITY-OBSERVABILITY,TechOps Reliability & Observability,Tech,System Owner,env_tech_dtp_253;env_tech_dtp_techops_reliability_001;env_tech_dtp_app_governance_quarterly_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Product & Platform Engineering,"Keep deployed systems reliable — observability/logs/KPIs, deploy cadence, defect remediation, render-gate + app-governance sweeps."
CAP-APPLICATION-SECURITY,Application Security & Secrets Management,Tech,System Owner,env_tech_dtp_13;env_tech_dtp_277,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,Secure the codebase and manage secrets/tokens via a vault pattern.
CAP-DATABASE-GRAPH-MGMT,Database & Graph Store Management,Tech,Database Owner,env_tech_dtp_15;env_tech_dtp_270;SOP-GRAPHDB_NEO4J_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Provision and operate relational + graph (Neo4j) data stores, including cost/clustering posture."
CAP-DOMAIN-DNS-MGMT,Domain & DNS Management,Tech,System Owner,env_tech_dtp_28;env_tech_dtp_29;env_tech_dtp_44,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Manage domains, nameservers, sub-domains and web-traffic analytics."
CAP-ECOMMERCE-PLATFORM-INTEGRATION,E-commerce & Storefront Platform Integration,Tech,System Owner,env_tech_dtp_56;env_tech_dtp_294;env_tech_dtp_296,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Product & Platform Engineering,"Integrate and ship commerce surfaces — Shopify app/theme/billing, plugins, storefront performance budgets."
CAP-THIRD-PARTY-INTEGRATION-MGMT,Third-Party Integration Management,Tech,System Owner,env_tech_dtp_18;env_tech_dtp_63;env_tech_dtp_64,,,planned,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Manage outbound integrations to third-party platforms (FB/Google/Sentry/Pinecone, PMS + comms tools)."
CAP-ENVOY-TECHLAB-SHOWCASE,Tech Lab Studio & Showcase Engineering,Tech,System Owner,SOP-ENVOYLAB_REFACTOR_ARCHITECTURE_001;SOP-MADEIRA_ENVOYTECH_SHOWCASE_002;SOP-KIRBE_ENVOYTECH_SHOWCASE_003,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,utility,Product & Platform Engineering,"Build and maintain the Envoy Tech Lab demo/showcase surfaces (AI Studio, MADEIRA/KiRBe/ERP showcases, lab architecture)."
CAP-DATAOPS-QUALITY-ASSURANCE,DataOps Quality Assurance,Tech,System Owner,env_tech_dtp_dataops_quality_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Data Governance & Enterprise Knowledge,Enforce the canonical-CSV + mirror data-quality bar (7-dimension DataOps check).
CAP-CLIENT-AI-DATAOPS-DELIVERY,Client AI & DataOps Engagement Delivery,Tech,AI Engineer,hol_eng_prc_engagement_design_001,,,active,,,,2026-06-08,Data Governance Office,D-IH-95-I,v3.1,Collapsed per D-IH-95-I (representative originating_process_ids; full rollup in l2-collapse-maps).,differentiating,Delivery & Client Engagement Operations,"Deliver bespoke client AI/DataOps modules (the SUEZ POC family: extraction, mapping, dispute register, dashboards)."
